First Name,Last Name,Company Name,Role in Company,Address,Email,Phone Number
Antônio,Souza,Short haul or local truck driver,First Rate Choice,"Travessa Feb, 137",AntonioCastroSouza@dayrep.com,(67) 9256-9711
Rafael,Souza,Stock broker,Planet Profit,"Rua Miguel Joaquim César, 665",RafaelMartinsSouza@teleworm.us,(81) 2738-6730
Nicole,Pereira,Ornamental ironworker,The White Rabbit,"Rua Lídia da Silva Oliveira, 993",NicoleAlmeidaPereira@jourrapide.com,(79) 6890-6765
Beatriz,Barros,Materials engineer,Thrift Auto Parts,"Rua Leonardo Evangelista, 1639",BeatrizCarvalhoBarros@dayrep.com,(75) 3562-7871
Ryan,Barbosa,Livestock farmer,VitaGrey,"Travessa Felipe Camarão, 1176",RyanCardosoBarbosa@armyspy.com,(34) 4843-3838
Kai,Barros,Media specialist,Asian Junction,"Travessa José Eugênio, 1268",KaiPereiraBarros@dayrep.com,(11) 6659-9383
Gabrielle,Ribeiro,Psychiatric technician,ManPower,"Travessa João Aguirre, 1300",GabrielleCardosoRibeiro@dayrep.com,(27) 3185-2319
Matheus,Araujo,Health services manager,Monk Home Loans,"Rua Santa Catarina, 898",MatheusDiasAraujo@armyspy.com,(62) 4933-2784
André,Castro,Courtesy van driver,Jack Lang,"Conjunto 01 HI Rua 23, 91",AndreFerreiraCastro@dayrep.com,(61) 4050-7741
Giovana,Pereira,Educational consultant,Chargepal,"Rua Doutor Cincinato Braga, 1291",GiovanaRodriguesPereira@armyspy.com,(11) 6533-7366
